"Method","beta0.x","beta1.x","beta2.x","beta0.y","beta1.y","beta2.y"
"oracle","0.0134849776789464","0.300024554764748","0.177373432461976","0.0332141143525289","0.0288645415138537","0.0280647602319079"
"naive","0.063235618501276","0.306751780641916","0.151069635606597","0.0318730843795843","0.0286292196341188","0.0247439819894729"
"cc","0.0177922476738185","0.367044024022419","0.110268111269696","0.0685354342095538","0.0441683335141198","0.0418433052251624"
"oracle","0.0626994970422584","0.214632449347189","0.171655064703403","0.0346531180100466","0.0285360674699891","0.0294083176314185"
"naive","0.107558642157289","0.222100518977827","0.149825328344042","0.0334447002904782","0.028139069770339","0.0261040564291497"
"cc","0.153711523087669","0.181013806300543","0.137154976819773","0.0711778405584783","0.043462910831332","0.0459115406744267"
"oracle","-0.00471946685591189","0.211020932729189","0.193378374223256","0.0337839836270667","0.0287103588485133","0.0291802684983668"
"naive","0.046235932918894","0.221637015589612","0.159892130910142","0.0323544769905293","0.0284238190352244","0.0256807153586185"
"cc","-0.00749865643426368","0.217454880237319","0.193818438097941","0.0667276096363541","0.0448180941341629","0.0441174074661427"
"oracle","0.0269772197859881","0.152841375021648","0.186289169147057","0.0344970395075865","0.0291928955817693","0.0284479565068771"
"naive","0.0752085164494058","0.160228836402632","0.16722449868195","0.0332810344500802","0.0286507519625572","0.0248278722375236"
"cc","0.0398299365974897","0.160144979969584","0.19288938411079","0.06775885108627","0.0437402945856554","0.0412040573744524"
"oracle","-0.00240224927038277","0.225954941950308","0.185894212311738","0.0334911619996865","0.028940999552338","0.0291275559741934"
"naive","0.0497363903811394","0.240831237506283","0.144694751390982","0.0322375031030522","0.0286059608526438","0.0255745745186997"
"cc","-0.124592904417361","0.211882164095328","0.271635723784177","0.0754839131539229","0.0471448669808709","0.0465407827225235"
"oracle","-0.0625334650435726","0.231494125029286","0.181553912398069","0.0349162626668483","0.0294169011163564","0.0317585240255688"
"naive","-0.0172459668246268","0.236823105826515","0.167909474061024","0.0332188584024459","0.0289069896901474","0.0283780589301004"
"cc","-0.0577963018438389","0.296152580522209","0.133241905810323","0.0708186858743333","0.0434177409127367","0.0487307709417903"
"oracle","-0.00402662952598307","0.213943706710645","0.220956077068836","0.0348527452616598","0.0310692619236906","0.0292593906589384"
"naive","0.0550649681932808","0.227024849862022","0.178550115807815","0.0337953687002671","0.0309952194670752","0.026349142183038"
"cc","-0.0369080757006013","0.200309930673387","0.251713626798106","0.068686266375069","0.0466325702560138","0.0422284598244269"
"oracle","0.012487067453553","0.245319840206192","0.182987245572931","0.0352686773241887","0.0300468089786821","0.0312469630357931"
"naive","0.0628588782648967","0.251261465807796","0.156263808954579","0.0336855390204803","0.0298884241748439","0.0279340430096751"
"cc","0.0148599606295192","0.272474876060111","0.144042182269791","0.0736017680851013","0.0479894870685008","0.0490446148778238"
"oracle","0.0288269863392049","0.174053225333091","0.132678692169053","0.0340001393239318","0.0293653502631387","0.0292205901125475"
"naive","0.0637390949716457","0.182734983132728","0.107435518693011","0.0330005457670039","0.0290912930976164","0.0262875999011564"
"cc","-0.00632122076751271","0.191062396206099","0.122891121636429","0.0664916834727776","0.0433218152723322","0.04321893791124"
"oracle","0.0122661820486245","0.167170688248253","0.219031386940895","0.0326559005780206","0.0279998740711559","0.0281291956765384"
"naive","0.066797222141347","0.177455780534151","0.187069822099543","0.0317921347476346","0.0276652988149076","0.024825630487228"
"cc","-0.0289510595966085","0.176085203740432","0.244205738724601","0.0669213897208033","0.0436485814859002","0.0418393167150354"
"oracle","0.0233392944151366","0.214815819357351","0.196143152536383","0.0351059735608792","0.0298894833676882","0.030581666544486"
"naive","0.0743985880564163","0.224469120048456","0.163250714620312","0.0340874981693318","0.029627846192846","0.0270809517368406"
"cc","-0.0555788653411992","0.215471874991259","0.238536338957905","0.0726464683461155","0.0457481210838464","0.0482905006147093"
"oracle","0.0672699375619616","0.207914824243491","0.184806793555005","0.0327370720531856","0.0293473251606668","0.0289253609807778"
"naive","0.116675533498969","0.220867979172509","0.153004043990905","0.0317163044958483","0.0288640911447034","0.0254843608732311"
"cc","0.0120401682242657","0.247001242216072","0.185629789240458","0.0674379290150499","0.045878713638608","0.0455227930761009"
"oracle","0.0138053878717876","0.149181357002257","0.194463565394509","0.0347684179319888","0.0290979510450339","0.0307034205351518"
"naive","0.0629013300348078","0.152271424161287","0.184809121658932","0.0334598067843615","0.0286017499778239","0.0274857951615803"
"cc","0.0426097108339529","0.190160920366185","0.154056142070972","0.0669756749041779","0.0432788611824505","0.0429914811239524"
"oracle","0.0063685761109502","0.167818939615361","0.244492116026349","0.0337489569136943","0.0292484878064363","0.0288758393883815"
"naive","0.0696788471067644","0.174631246538805","0.213848137491617","0.0326794891211897","0.0290072719296131","0.0255423132485843"
"cc","0.00984303252825706","0.193205656161022","0.21121028956914","0.0664345549230421","0.0423572144471833","0.041082378431177"
"oracle","0.00286994787171544","0.243313867002962","0.17965015428896","0.034583906055588","0.0285812862680344","0.0295719474945619"
"naive","0.0529200043266027","0.250782001423481","0.148387611454098","0.0336321196679141","0.0284043818640744","0.0259822144437938"
