"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","1.01931458766711","1.91212237117545","3.03603651435429","0.998147469509484","0.0317035305659269","0.0330379244758909","0.0250321028093262"
"naive","-0.270205838376097","1.25595106361512","1.67755228443584","2.86858706860572","0.0801381816460424","0.0925749680841389","0.0703431856417193"
"cc","1.03393984644315","1.92146889352681","3.02499599885692","1.02045987395896","0.0452809202289702","0.047105960677869","0.0336032689662512"
"ipw","1.02998565817204","1.91148534133286","3.0236641864115","1.02051303535","0.0469554639538788","0.047803132895013","0.0343058634836962"
"ipw-hat","1.02522438818479","1.90800310614812","3.02673060508452","1.02059984993284","0.0493409609052223","0.049260279757003","0.0355783276760871"
"ipw-hat2","1.02513493823664","1.90575644406718","3.0264623785974","1.02063211606906","0.0493338029176255","0.0493917053822738","0.0355892614439771"
"acc-lambda","1.03241080194505","1.91455325383042","3.02051532609786","1.02048983140289","0.0435680137752367","0.0452356759058871","0.0322881164027987"
"acc-lambda-hat","1.04883701657901","1.92110002250762","3.03035729182277","1.02060262097589","0.0444375024355967","0.0469324398099902","0.033408731745398"
"aipw-lambda","1.02868012091473","1.90332125101837","3.01777715129486","1.02062871681323","0.0449345491214847","0.0455742311094299","0.0327371443587337"
"aipw-lambda-hat","1.04215235384415","1.91001752523173","3.03324605162102","1.02066303042153","0.0481967751714628","0.0491338923098866","0.0353825633006447"
