"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","0.991036110827888","1.93940655390678","2.95926302471416","0.981576787834469","0.0310315295976542","0.0334527439352595","0.0230146173311033"
"naive","-0.346338104245594","1.24969124472377","1.75871869054663","2.84852897320909","0.0817316701170037","0.102344135400984","0.0699600580096055"
"cc","0.955992791471319","1.95577594631607","2.96335026736003","0.986068490976137","0.0442737685769437","0.0478584615149387","0.0316505608316309"
"ipw","0.957001834148881","1.95500470833066","2.9602498432742","0.986077851439213","0.044775464588041","0.0469725954250861","0.0329977633340217"
"ipw-w","0.936870795532926","1.91846759647158","2.97684780226507","0.987288166621347","0.0535493230171727","0.0603578629911979","0.0336723979934196"
"ipw-yz","0.891651612931489","1.95432514288719","2.96735713798792","0.988119388534546","0.045148477313569","0.0472319727144503","0.032917724502639"
"acc","0.957781057589241","1.96178842118442","2.94568004815112","0.98647964190457","0.0427005622418956","0.0462271566027353","0.0306977980473541"
"acc-eta1","0.968865642206152","1.96608370196197","2.92400784106469","0.987991466189904","0.0458064416153","0.0492769632913441","0.0343517072911893"
"acc-w","0.842785527175254","1.98955192020055","2.89071713078303","1.00231303068994","0.0474078484087256","0.0495396828999523","0.0461275198676786"
"acc-eta1-w","0.739035860802361","2.0074755724275","2.81312525854301","1.04689369028706","0.0620419104739782","0.0650220143228928","0.0773203669254121"
"acc-lambda","0.956875291302114","1.96663291848238","2.94349976119038","0.986669703399658","0.042759056607324","0.0462016702490127","0.0307115481165084"
"acc-lambda-w","0.906485859483273","1.96387504677227","2.95354536661108","0.987629818432553","0.042892536529553","0.0459936967321777","0.0309808547432332"
"macc","0.956206373934881","1.9641800421092","2.94467902525824","0.986569002981373","0.0428835650606359","0.0461950758579114","0.0307905762913136"
"macc-eta1","0.973134434247898","1.9639641139485","2.9235528433705","0.987991083617308","0.0468903948554537","0.0495353062355087","0.034734104523255"
"macc-w","0.788208237456881","1.99234719958205","2.86501061906558","1.01741173996402","0.0492768200653654","0.0514679731766664","0.0508487212777775"
"macc-eta1-w","0.739035860802361","2.0074755724275","2.81312525854301","1.04689369028706","0.0620419104739782","0.0650220143228928","0.0773203669254121"
"macc-lambda","0.959969245670412","1.96065682955827","2.94652038617226","0.986426218852732","0.0431978658700192","0.0464611992929775","0.0307629412889011"
"macc-lambda-w","0.917754748404052","1.96206054604229","2.95762067310384","0.986950211662864","0.0438134577386165","0.0468166476996794","0.0318140123306861"
"aipw","0.958007229419177","1.97122729317563","2.92925117511806","0.987727421526748","0.0445555645923925","0.0468436500170988","0.0321268137464989"
"aipw-eta1","0.964893858663224","1.96554575757373","2.92940811263153","0.987520498464056","0.0453188820403913","0.0473208381320024","0.0323882754570422"
"aipw-w","0.684190402452558","1.99597097004611","2.91220590526995","1.031228158512","0.0579275225139323","0.0615129562460471","0.0426327257042216"
"aipw-eta1-w","0.765945019698857","1.98290812398827","2.91996481970796","1.00944970320437","0.056943993476495","0.0601254046555528","0.0427584014371295"
"aipw-lambda","0.962765056407002","1.95816902902548","2.94024557380038","0.986672110360482","0.0436121671285128","0.0455101745549946","0.0314787778393624"
"aipw-lambda-w","0.863844696586165","1.93472761118994","2.97105422088509","0.990451270829259","0.0522098498283958","0.0571504909113906","0.0337830210754653"
"mle","0.959193022187877","1.96368132641808","2.95191385445974","0.982768543860646","0.0394412332117549","0.0430351694387599","0.0284673155968571"
"mle-w","0.150157932488553","1.61971154351261","2.72745047884811","1.68433257256668","0.0780897278557781","0.0813915610511994","0.0653431750708726"
