"Method","beta0.x","beta1.x","beta2.x","sigma.x","beta0.y","beta1.y","beta2.y"
"oracle","1.09610808958125","1.90210065994457","3.01791522144252","0.8973589798612","0.0899307529484774","0.0841566117088969","0.0642720778596139"
"naive","-0.380658226591676","1.20807293505891","1.20548082303548","3.49249577145343","0.277938955817206","0.283863264484771","0.264475139207193"
"cc","1.01093285565813","1.89294333452445","3.08375442416604","0.927274991541817","0.132772465633562","0.103706734179652","0.0935512808247616"
"ipw","0.945841781414228","1.88838303449712","3.09630368614631","0.929712255946254","0.127872407558181","0.0982082722328225","0.0969770765382007"
"ipw-w","0.944754602834365","1.84443499079594","3.08035405765618","0.930981770589332","0.154849529821264","0.128789682816701","0.101318087811606"
"ipw-yz","0.855323239288944","1.89355643964862","3.10962281141254","0.940644008661836","0.126808724229559","0.0956013142583856","0.0944768601312983"
"acc","1.06287250387999","1.88443263559449","3.09777104035059","0.929073175478111","0.124729606355827","0.0970361755834239","0.0868959736034657"
"acc-eta1","1.12632285992798","1.82453228808786","3.08326484464067","0.937079191991918","0.13984484311965","0.123596770727589","0.100911827734709"
"acc-w","1.00651801672059","1.85158405343937","3.04847249116692","0.928650116259147","0.131646041313597","0.0986253492786747","0.100567381212882"
"acc-eta1-w","1.03862928036254","1.77058550268351","2.99667115727308","0.93735017811199","0.163688317945087","0.132974362776168","0.137159600514308"
"acc-lambda","1.05806728605047","1.88536819565415","3.08099793080443","0.928489965994815","0.125909304836911","0.0998253977534476","0.0854774218030844"
"acc-lambda-w","0.985542278878985","1.88420618810101","3.09010621968588","0.927733372548502","0.125767365148772","0.0969587853927903","0.0884048375554029"
"macc","1.04949735714742","1.85949654175595","3.11052662764415","0.930024420411993","0.1269935149025","0.101358311094455","0.086503329623246"
"macc-eta1","1.11410701284234","1.80139975128631","3.08740434251487","0.938068086342461","0.142583982603302","0.13191917608763","0.100673418042783"
"macc-w","0.955893617101837","1.80751425820776","3.01148115961954","0.934881347650563","0.136347735459403","0.107213487810141","0.115240920014986"
"macc-eta1-w","1.03862928036254","1.77058550268351","2.99667115727308","0.93735017811199","0.163688317945087","0.132974362776168","0.137159600514308"
"macc-lambda","1.04656439826916","1.87890858326925","3.08594420868303","0.928098954256392","0.126014793745339","0.101039262071033","0.08746480036918"
"macc-lambda-w","1.01601157126084","1.85617454471849","3.06532893477382","0.92800793640034","0.127659265443435","0.0988185077786094","0.0894333008238845"
"aipw","1.00531811360377","1.81437484175817","3.13561079915822","0.935983000176489","0.12212282387749","0.102747158514552","0.0895339576013714"
"aipw-eta1","1.03382696307288","1.83118287342664","3.12390638504283","0.932912848137397","0.121886108161718","0.101211071963797","0.0885311702145928"
"aipw-w","0.859115784072724","1.68624399720488","3.01107693884188","0.961501501187509","0.13948984153835","0.126516253607712","0.0931635257656933"
"aipw-eta1-w","0.956392602713359","1.74239730987837","3.03774064679583","0.940363915339789","0.137266539881312","0.115300277466994","0.0914041391147825"
"aipw-lambda","0.986046226779898","1.87117371106934","3.09990897949921","0.928338167584254","0.117923124129711","0.0930205917216745","0.085719140533197"
"aipw-lambda-w","0.957499633670444","1.78029113082276","3.05092405192692","0.935299865227234","0.133022929677282","0.111203116990233","0.084349577372551"
"mle","1.03997356543168","1.95580364371346","3.13194941241659","0.966662968597166","0.124782611436639","0.108471399696494","0.0469791659110247"
"mle-w","-0.0137790498930531","1.77065830431692","2.78499402343765","2.03361275297692","0.390532936441116","0.295679492375224","0.423510862013447"
